Patterns,Category,Can we detect this using only code change (partial analysis is sufficient),Feasibility using Regex,# Note,inter-class,import,signature,field,body,signature,local variable,field,body,statement,type,annotation,java version,data flow/control flow/call graph/inheritance graph/no,name(class/method/field/variable),expression text(operator/keyword),constant,
DB: Method uses the same code for two branches (DB_DUPLICATE_BRANCHES),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
DB: Method uses the same code for two switch clauses (DB_DUPLICATE_SWITCH_CLAUSES),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
XFB: Method directly allocates a specific implementation of xml interfaces (XFB_XML_FACTORY_BYPASS),Dodgy code (STYLE),Yes,No for multi-line,,,Y,,,Y,,,,,,,,,,Y,Y,,
USM: Method superfluously delegates to parent class method (USM_USELESS_SUBCLASS_METHOD),Dodgy code (STYLE),No,No for multi-line,"only invocations on ""super""",Y,,,,,,,,,,,,,call graph,,,,
USM: Abstract Method is already defined in implemented interface (USM_USELESS_ABSTRACT_METHOD),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
CI: Class is final but declares protected field (CI_CONFUSED_INHERITANCE),Dodgy code (STYLE),No,No for multi-line,,,,Y,Y,,,,,,,,,,,,,,
"TQ: Value required to not have type qualifier, but marked as unknown (TQ_EXPLICIT_UNKNOWN_SOURCE_VALUE_REACHES_NEVER_SINK)",Dodgy code (STYLE),No,No for regex limitation,,,,,,,Y,,,Y,,,Y,,,,,,
"TQ: Value required to have type qualifier, but marked as unknown (TQ_EXPLICIT_UNKNOWN_SOURCE_VALUE_REACHES_ALWAYS_SINK)",Dodgy code (STYLE),No,No for regex limitation,,,,,,,Y,,,Y,,,Y,,,,,,
NP: Method relaxes nullness annotation on return value (NP_METHOD_RETURN_RELAXING_ANNOTATION),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,Y,,,,,,
NP: Method tightens nullness annotation on parameter (NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,Y,,,,,,
